  Psc,000520.1,-054227,4.61
α And,000823.3,+290526,2.06
β Cas,000910.7,+590859,2.27
κ1Scl,000921.0,-275916,5.42
ε Phe,000924.7,-454451,3.88
  And,001019.3,+460420,5.03
γ3Oct,001002.1,-821326,5.28
  Cet,001115.9,-152805,4.89
κ2Scl,001134.4,-274759,5.41
θ Scl,001144.0,-350759,5.25
     ,001210.0,-175618,5.25
γ Peg,001314.2,+151101,2.83
χ Peg,001436.2,+201224,4.80
     ,001427.6,-074650,5.12
  Cet,001438.4,-185558,4.44
θ And,001705.5,+384054,4.61
σ And,001819.7,+364707,4.52
ι Cet,001925.7,-084926,3.56
ζ Tuc,002004.3,-645229,4.23
  Psc,002035.9,+081125,5.37
ρ And,002107.3,+375807,5.18
ι Scl,002131.2,-285854,5.18
     ,002146.3,-200328,5.12
  Cas,002447.5,+614952,5.40
β Hyi,002545.1,-771515,2.80
α Phe,002617.0,-421822,2.39
κ Phe,002612.2,-434048,3.94
  Psc,002802.9,+175335,5.06
     ,002813.7,+442340,5.17
η Scl,002755.7,-330026,4.81
     ,002826.4,-395454,5.43
  And,003007.3,+294506,5.23
     ,003022.7,-234716,5.19
λ Cas,003146.4,+543120,4.73
λ1Phe,003125.0,-484813,4.77
β1Tuc,003132.7,-625729,4.37
β2Tuc,003133.6,-625757,4.54
κ Cas,003300.0,+625554,4.16
  Psc,003235.5,+201740,5.38
β3Tuc,003243.8,-630152,5.09
  Cet,003514.9,-033534,5.20
     ,003608.3,+541007,5.08
     ,003646.6,+442919,5.13
ζ Cas,003658.3,+535349,3.66
π And,003652.9,+334310,4.36
     ,003721.1,+352358,5.48
ε And,003833.3,+291842,4.37
     ,003909.9,+492116,5.43
δ And,003919.7,+305139,3.27
  Psc,003955.6,+212618,5.36
α Cas,004030.5,+563214,2.23
  And,004107.2,+392731,5.33
ξ Cas,004203.9,+503045,4.80
μ Phe,004119.6,-460506,4.59
π Cas,004328.1,+470129,4.94
ρ Tuc,004228.4,-652805,5.39
β Cet,004335.4,-175912,2.04
η Phe,004321.2,-572747,4.36
ο Cas,004443.5,+481704,4.54
φ1Cet,004411.4,-103634,4.76
     ,004517.2,+551318,5.42
     ,004444.4,-220022,5.24
  Cas,004746.1,+745051,5.41
     ,004611.8,-223119,5.50
